#Lothenbach et al., 2018 https://doi.org/10.1016/j.cemconres.2018.04.018
#Cemdata18 database: Standard thermodynamic properties at 25 °C and 1 bar
#a0, a1, a2, a3 are the empirical coefficients of the heat capacity function: C°ₚ = a₀ + a₁ T + a₂ T⁻² + a₃ T^-0.5
#heat capacity functions for cement hydrates are typically valid up to 100 °C only.
#Cement shorthand notation is used: A=Al2O3; C=CaO; F=Fe2O3; H=H2O; M=MgO; S=SiO2; c=CO2; s=SO3;

phases FormationFreeEnthalpy FormationEnthalpy Entropy a0 a1 a2 a3 MolarVolume Reference 
C4FsH12 -6873.2 -7663 1430 577 1.234 2.02e6 0 321 [10]
#C2FSH8 Not stable [37]
C4FCl2H10 -5900.1 -6528 1286 481 0.961 -1.61e4 1503 278 [37]

#Sulfates
CS -1322.12 -1434.60 106.7 70.2 -0.099 0 0 46 [22,23]
CSH2 -1797.76 -2023.36 193.8 91.4 -0.318 0 0 75 [22,23]
CSH0.5(hemihydrate) -1436.34 -1575.3 134.3 124.1 0 0 0 62 [38]
Syngenite -2884.91 -3172 326 201 0.308 -1.78e6 0 128 [29]

#(Hydr)oxides
Al(OH)3(am) -1143.2 0 0 0 0 0 0 32 [1]
Al(OH)3(mic) -1148.4 -1265.3 140 36 0.191 0 0 32 [12]
Al(OH)3(gibbsite) -1151.0 -1288.7 70.1 36.2 0.191 0 0 32 [22,23]
Fe(OH)3(am) -700.1 0 0 0 0 0 0 0 [22,23]
Fe(OH)3(mic) -711.6 0 0 0 0 0 0 0 [22,23]
FeOOH(mic) -480.14 -551.1 60 1.25 -0.233 -3.14e5 0 21 [9,22]
FeOOH(goethite) -497.26 -568.2 60 1.25 -0.233 -3.14e5 0 21 [22,23]
CH -897.01 -985 83 187 -0.022 0 -1600 33 [22,23]
SiO2(am) -848.90 -903 41 47 0.034 -1.13e6 0 29 [1,7]
SiO2(quartz) -854.79 -909 41 47 0.034 -1.13e6 0 29 [22,23]

#Hydrotalcite-pyroaurite (solid solution)
0.5M6AcH13 -4339.85 -4875.9 411 512.6 0 0 0 115 [39]
0.5M6FcH13 -3882.60 -4415.1 423 521.7 0 0 0 119 [39]

#M-S-H (solid solution)
M1.5S2H2.5 -3218.43 -3507.52 270 318 0 0 0 95 [40]
M1.5SH2.5 -2355.66 -2594.22 216 250 0 0 0 74 [40]

#Zeolites
ZeoliteP(Ca) -5057.8 -5423 779 753 0 0 0 153 [41]
Natrolite -5325.7 -5728 360 359 0 0 0 169 [41]
Chabazite -7111.8 -7774 581 617 0 0 0 251 [41]
ZeoliteX(Na) -5847.5 -6447 566 586 0 0 0 214 [41]
ZeoliteY(Na) -7552.5 -8327 734 739 0 0 0 283 [41]

#Clinkers
C3S -2784.33 -2931 169 209 0.036 -4.25e6 0 73 [1,7,42]
C2S -2193.21 -2308 128 152 0.037 -3.03e6 0 52 [1,7,42]
C3A -3382.35 -3561 205 261 0.019 -5.06e6 0 89 [1,7,42]
C12A7 -18451.44 -19414 1045 1263 0.274 -2.31e7 0 518 [42]
CA -2207.90 -2327 114 151 0.042 -3.33e6 0 54 [42]
CA2 -3795.31 -4004 178 277 0.023 -7.45e6 0 89 [42]
C4AF -4786.50 -5080 326 374 0.073 0 0 130 [1,7,42]
C(lime) -604.03 -635 39.7 48.8 0.0045 -6.53e5 0 17 [43]
KS -1319.60 -1438 176 120 0.100 -1.78e6 0 66 [44]
K -322.40 -363 94 77 0.036 -3.68e5 0 40 [43]
NS -1269.80 -1387 150 58 0.023 0 0 53 [44]
N -376.07 -415 75 76 0.020 -1.21e6 0 25 [43]
